title,company,location,job_link,posted_date,description
IT Administrator,TeKnowledge,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/it-administrator-at-teknowledge-4131106663,2 weeks ago,"Overview
We are looking for teammates who want to be part of the tech movement. People who want to progress their career now and gain experience for tomorrow. You will work with some of the biggest and best names in technology. We’re in search of a process-oriented IT professional to serve as IT Administrator. This role is responsible for new user accounts and maintaining existing accounts. You should be diligent with information security and able to deliver comprehensive reporting to senior management. You must be able to administrate, maintain and co-ordinate the process for all our sites across the globe.
Accelerating Progress. Securing Futures.
At TeKnowledge we help governments, businesses, and technology providers not only navigate but thrive in today’s complex technology landscape. Our services provide unparalleled value and impact to our clients across cybersecurity, advanced technical skilling, and enterprise technical support. We are committed to enabling technology, AI, CX, and security, uniquely positioning us in the market, and ensuring our customers are equipped to achieve their strategic goals.
Responsibilities
Secure approval for new account creation.
Submit tickets for new and existing client account requests.
Maintain a database with all new and existing accounts.
Coordinate Multi-factor authentication and any issues that may occur.
Drive internal and external communication about account creation.
Coordinate with System Administrators to resolve issues.
Work with your line manager to ensure global adherence to client standards and polices.
Assist in data gathering for IT-related queries and reports.
Qualifications
Professional fluency in English, both written and oral.
Basic personal or professional experience in computing and technology.
Basic understanding of MS Office.
Strong communication and customer service skills.
Highly organized.
Process-oriented mindset.
Understanding of IT service management for incidents, changes, and requests.
Ability to self-manage.
Show more
Show less"
IT Manager (Based in Danang or Hanoi),SmartDev,"Quận Cầu Giấy, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/it-manager-based-in-danang-or-hanoi-at-smartdev-4141440568,1 day ago,"Company Description
SmartDev is a leading provider of global software solutions. The company was established in 2014 and is a wholly owned subsidiary of Verysell Technologies Group (Switzerland).
Job Description
Job Summary:
We are seeking a highly skilled and motivated IT Manager to oversee and manage organization-wide systems and services globally. The IT Manager will be responsible (70%) for ensuring the efficient, secure, and seamless operation of all IT services and systems across the organization. This role requires strong technical expertise, leadership capabilities, and a strategic mindset to align IT initiatives with business goals.
In addition, the IT Manager will be responsible (30%) for Pre-sale in AMS Department to ensure high quality of proposal.
Key Responsibilities For IT Manager (70%)
Infrastructure Management
Oversee the design, deployment, and maintenance of IT infrastructure, including servers, networks, and storage systems.
Ensure optimal performance, scalability, and availability of IT infrastructure.
Manage disaster recovery and backup processes to ensure business continuity.
Application Management
Oversee the development, implementation, and maintenance of business-critical applications.
Collaborate with stakeholders to assess application requirements and recommend solutions.
Manage application updates, integrations, and lifecycle management.
IT Operations
Ensure smooth day-to-day IT operations, including helpdesk support and IT service delivery.
Monitor and optimize system performance to meet service level agreements (SLAs).
Develop and enforce IT policies, procedures, and best practices.
IT Security
Develop and implement a comprehensive IT security strategy to protect systems and data.
Develop and implement security policy and best practice guide for the organization
Oversee vulnerability assessments, penetration testing, and incident response plans.
Conduct regular system audit.
Ensure compliance with relevant regulations, standards, and policies (ISO 27001, SOC 2).
General Responsibilities
Lead and mentor a team of IT professionals, fostering a culture of collaboration and continuous improvement.
Develop and manage the IT budget, ensuring cost-effective delivery of IT services.
Stay updated on emerging technologies and industry trends to drive innovation.
Design training programs and workshops for staff
Collaborate with cross-functional teams to align IT initiatives with organizational goals.
Prepare and present regular reports to the IT Director and senior management.
Key Responsibilities For Pre-Sale (30%)
Making high quality for proposal
Fluent English to communicate with Sales team and clients
Collaborate with cross-functional teams to align AMS activities.
Qualifications
Minimum 5 years of experience in IT management or similar leadership roles.
Excellent communication in both English and Vietnamese and interpersonal skills to work effectively with technical and non-technical stakeholders.
Proven track record of managing IT infrastructure, applications, operations, and security in a complex environment.
Experience with IT governance frameworks such as ITIL, COBIT, or similar.
Have experiences as a System administrator (Linux/Windows) position
Have experience in network administration, LAN/WAN networking, load balancing, firewall device
Have experience in Office365 Global admin
Have experience of using and managing Jira/Confluence
Have experience of virtualization platforms (Xen, KVM, Vmware,..)
Have experience of web services like nginx, apache, proxy,…
Ability to write bash, powershell scripts
Have experience in Docker
Having ISO9000/SOC 2 experience is a plus
Nice to have
Certifications of CCNA, MCSA
Worked under ISO 27001 standard
ITIL 4 foundation certification
Preferred:
Willingness to work flexible hours when needed
Understanding of customer satisfaction principles and practices
Ability to work under pressure
Strong leadership and team management skills.
In-depth knowledge of IT infrastructure, cloud technologies, and application lifecycle management.
Expertise in cybersecurity frameworks, risk management, and compliance.
Excellent problem-solving, decision-making, and project management skills.
Additional Information
What We Offer
20 annual leave days alongside Vietnamese public holidays
Premium Health Care MIC
13th salary bonus/ competitive salary
Cutting-edge technologies/ Scrum methodology/ Agile development
Great activities (Team Building, Company Trip, Weekly Happy Friday, …)
Work with high-profile multinational companies
Show more
Show less"
IT Manager - Melia Ba Vi Mountain Retreat,Meliá Hotels International,"Quân Phuong Ha Trai, Vietnam",https://vn.linkedin.com/jobs/view/it-manager-melia-ba-vi-mountain-retreat-at-meli%C3%A1-hotels-international-4121141859,3 weeks ago,"“The world is yours with Meliá”
Discover a boundless path at Meliá, where opportunities for growth and development are endless. Immerse yourself in a journey that will take you to work in various countries and to be part of our extensive global family 🚀
Discover some of the benefits we offer:
My MeliáRewards: Participate in our exclusive loyalty program, enjoying unique benefits and advantages.
My MeliáBenefits: Take advantage of flexible compensation and exclusive discounts on a wide variety of products and services, promoting an active and healthy lifestyle.
Be proud to belong to Meliá as we are proud of you 😉
We are looking for
IT Manager - Melia Ba Vi Mountain Retreat
Mission:
IT Manager is responsible for the smooth functioning of the IT Department and operations, program developments for both Front of house and Back Office, hardware maintenance programs for both main hotel computer system and personal computers, design and coordinating of all IT functions, data storage and protections and training of user equipment.
Main responsibilities:
IT Budget and Expense Management:
Prepare an annual IT budget, including costs for equipment maintenance, software programs, and related IT expenses.
System Configuration and Security:
Oversee the hotel’s computer system configuration to ensure proper functioning and restrict unauthorized access to files.
Implement and monitor strict data security measures, including back-up protocols to safeguard files and disks from fire, damage, or unauthorized access.
Data Back-Up and Compliance:
Develop and enforce data back-up procedures, ensuring all users are trained and compliant.
Regularly monitor back-up processes to minimize data loss risks.
User Training and Support:
Plan and organize user training sessions in coordination with Division and Department Heads, ensuring proper timing and relevance to requirements.
Provide timely support to users to minimize operating interruptions and enhance system efficiency.
Guest Experience Management:
Minimize guest complaints related to IT systems by proactively maintaining systems and addressing potential issues.
Address guest complaints promptly and follow established procedures to ensure guest satisfaction.
System Equipment and Usage Monitoring:
Monitor the status of computer system equipment to ensure adequacy and functionality for departmental needs.
Schedule and manage user requests during periods of high system demand.
Hardware and Software Maintenance:
Ensure all equipment is in good working condition through regular maintenance schedules.
Coordinate preventive maintenance procedures for both hardware and software in collaboration with contractors.
Crisis and Emergency Preparedness:
Develop and maintain an emergency response procedure for system failures or other IT crises.
Environment Control:
Maintain a controlled physical environment to house hardware and IT systems, ensuring optimal safety and performance.
Main requirements:
Experience:
Minimum 3-5 years of experience in IT supervision roles, preferably in the hospitality industry.
Proven track record of managing IT systems, infrastructure, and operations effectively.
Hands-on experience with hotel management systems (PMS, POS, CRS, etc.) is a plus.
Technical Skills:
Strong knowledge of hardware and software maintenance, including servers, networks, and personal devices.
Expertise in data storage, backup solutions, and cybersecurity protocols.
Familiarity with system integration and program development for Front of House and Back Office operations.
Soft Skills:
Leadership qualities with the ability to manage project.
Excellent problem-solving and analytical skills.
Strong communication and interpersonal skills to train and support users effectively.
English communication.
At Meliá we are all VIP
🌟
Great professionals who make everyday life easier and exceptional. From the junior to the most senior, all of them have unique and important qualities that make working at Meliá an opportunity for constant growth and a passport to create your future wherever you want.
Our warmth, proximity and passion for what we do make working at Meliá an unforgettable experience, full of emotional moments and always with the feeling that you belong to a big family where we have people like you,
VIP
People.
At Meliá Hotels International, we are committed to
equal opportunities between women and men
in the workplace, with the commitment of management and the principles contained in Human Resources policies. We also prioritize disseminating throughout the entire staff a corporate culture committed to effective equality, and raising awareness about the need to act jointly and globally.
We promote our commitment to
equality and diversity
, avoiding any kind of dicrimination, especially related to reasons of disability, race, religion, gender, or age. We believe that
diversity and inclusion among our employees are essential for our success as a global company
.
Additionally, we support the sustainable growth of our industry through
a socially responsible team
. In this sense, our motto is ""
Towards a sustainable future, from a responsible present
"". Thanks to al our collaborators, we make it possible.
To protect yourself and avoid fraud in selection processes, we invite you to consult our recommendations on the ""
Protect Your Application
"" page.
If you want to be “
Very Inspiring People
“, follow us on:
INSTAGRAM – TIKTOK – LINKEDIN – INDEED – GLASSDOOR
Show more
Show less"
[LTS] Chuyên viên tuyển dụng IT,LTS Group,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/lts-chuy%C3%AAn-vi%C3%AAn-tuy%E1%BB%83n-d%E1%BB%A5ng-it-at-lts-group-4138917012,6 days ago,"Vị trí tuyển dụng :
Chuyên viên tuyển dụng (IT)
Số lương :
01
Loại hình :
Full-time
Địa điểm làm việc
: 68 Nguyễn Cơ Thạch, Mỹ Đình, Hà Nội.
Thời gian làm việc
: T2 – T6, 8h30-17h30
MÔ TẢ CÔNG VIỆC
Tiếp nhận nhu cầu tuyển dụng và lên kế hoạch tuyển dụng
Xây dựng mạng lưới ứng viên từ các kênh tuyển dụng
Thực hiện tư vấn và giới thiệu tới ứng viên về vị trí, môi trường làm việc của Công ty. Hỗ trợ ứng viên tiếp cận với các vị trí tuyển dụng của Công ty.
Mở rộng liên tục nguồn ứng viên của các vị trí theo kế hoạch tuyển dụng.
Thường xuyên tương tác với ứng viên trước, trong và sau quá trình tuyển dụng.
Tham gia vào công việc truyền thông thương hiệu tuyển dụng của Công ty
Tham gia đề xuất cải tiến quy trình tuyển dụng và đảm bảo tuân thủ quy trình đã xây dựng
Thực hiện các hoạt động hỗ trợ ứng viên trong toàn bộ quá trình tuyển dụng (sơ lọc hồ sơ, gửi thư mời phỏng vấn, đón tiếp, đàm phán, làm thủ tục đón NV mới,…)
Thực hiện những công việc khác Trưởng phòng Nhân sự yêu cầu.
YÊU CẦU
Có từ 2-3 năm kinh nghiệm đảm nhận IT Recruiter
Có nguồn network mạnh trong lĩnh vực IT
Am hiểu và sử dụng tốt các kênh tuyển dụng, đặc biệt là các mạng xã hội trong hoạt động tuyển dụng: Facebook, Linkedin, ITviec, Vietnamwork,…
Có kỹ năng giao tiếp, đàm phán, thuyết phục, quản lý công việc, phân tích, đánh giá tốt.
Sử dụng thành thạo Microsoft Office hoặc Google Drive trong công việc.
Am hiểu tâm lý ứng viên.
Ưu tiên hiểu biết và có khả năng ứng dụng các công cụ Digital Marketing vào hoạt động tuyển dụng.
Tiếng Anh là 1 lợi thế
QUYỀN LỢI
Lương upto 1200$/tháng + 13 tháng lương + Bonus
Làm trong môi trường năng động và chuyên nghiệp, có lộ trình học tập phát triển bản thân rõ ràng
Có quyền lợi về bảo hiểm y tế, bảo hiểm xã hội, Thuế TNCN theo đúng quy định của nhà nước.
Lộ trình thăng tiến và tăng lương rõ ràng
Có 12 ngày nghỉ phép/ năm.
Hoạt động teambuilding, Summer holiday, Year-end party,…
Kiểm tra sức khỏe một năm một lần
CONTACT
LTS Recruitment Department
Phone Number: 02466607474
Email: hr@ltsgroup.tech/ lts.rec@ltsgroup.tech
Show more
Show less"
[LTS] IT Comtor,LTS Group,"Hanoi, Hanoi, Vietnam",https://vn.linkedin.com/jobs/view/lts-it-comtor-at-lts-group-4138913229,6 days ago,"Vị trí tuyển dụng :
IT Comtor
Số lương :
01
Loại hình :
Fulltime
Địa điểm làm việc
: 68 Nguyễn Cơ Thạch, Mỹ Đình, Hà Nội.
Thời gian làm việc
: T2 – T6, 8h30-17h30
MÔ TẢ CÔNG VIỆC
– Dịch tài liệu dự án, dịch mail (tài liệu mô tả yêu cầu )
– Phiên dịch, truyền đạt cho các lập trình viên IT
– Liên lạc, trao đổi với khách hàng hoặc team phía Nhật (trường hợp offshore) qua các kênh như: mạng SNS nội bộ, email,…
– Quản lí tiến độ của team phát triển
Chi tiết trao đổi cụ thể trong quá trình phỏng vấn
YÊU CẦU
– Tiếng Nhật N1, giao tiếp tốt
– Yêu thích công việc dịch IT, có định hướng phát triển lâu dài
– Ưu tiên ứng viên có kinh nghiệm IT comtor hoặc background về IT
QUYỀN LỢI
Range lương 15 – 20M, lương tháng thứ 13, lương mềm cuối năm
Xét tăng lương 2 lần một năm.
Có cơ hội hoàn thiện và phát triển kĩ năng của bản thân.
Có quyền lợi về bảo hiểm y tế, bảo hiểm xã hội, Thuế TNCN theo đúng quy định của nhà nước.
Môi trường làm việc: Thân thiện, năng động và có cơ hội/lộ trình thăng tiến rõ ràng..
Hoạt động teambuilding, Summer holiday, Year-end -party ,…
Kiểm tra sức khỏe một năm một lần
CONTACT
LQA Recruitment Department
Phone Number: 02466607474
Email: rec@ltsgroup.tech
Show more
Show less"
IT Support Coordinator,ZIM Integrated Shipping Services,"Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/it-support-coordinator-at-zim-integrated-shipping-services-4113719998,1 month ago,"We are looking for a IT Assistant that will handle with the following:
Support users and handling errors related to Window OS patchi, trouble shooting
Diagnostics - fixes computer hardware errors network errors (LAN WAN Internet)
Track and update processing status of support request to users, forward an unresponsive request to higher support (next level) and follow until it is completed
Schedule the Data backup, firewall management, firmware upgrade & optimization
Monitor the preventive maintenance, security management (optional)
Make sure the user machine has stable operation.
Install software operating system for - user computer backup and restore user computer data.
Other tasks assigned such as: IT consultation, remotely & onsite support.
Requirements:
Able to communicate at Intermediate English level
Bachelor with major in IT
Above 1 year experience in IT position
Fast learner, being responsible and can-do attitude
Show more
Show less"
Nhân viên IT Quảng Trị Mạng,Công Ty CP Thiết Kế - Xây Dựng Kiến Trúc Việt,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/nh%C3%A2n-vi%C3%AAn-it-qu%E1%BA%A3ng-tr%E1%BB%8B-m%E1%BA%A1ng-at-c%C3%B4ng-ty-cp-thi%E1%BA%BFt-k%E1%BA%BF-x%C3%A2y-d%E1%BB%B1ng-ki%E1%BA%BFn-tr%C3%BAc-vi%E1%BB%87t-3984649455,6 months ago,"Mô tả công việc
Mô tả chi tiết công việc
Phụ Trách Toàn Bộ Các Hoạt Động Liên Quan Đến Hệ Thống Mạng, Các Trang Thiết Bị Điện Tử, Nghe Nhìn Trang Bị Tại Công Ty Và Cửa Hàng
Đảm bảo hoạt động của hệ thống mạng LAN, Internet, hệ thống máy chủ được thông suốt, ổn định.
Khắc phục các sự cố máy chủ, máy trạm, máy in … và hỗ trợ kịp thời cho người dùng các vấn đề về IT.
Là đầu mối giải quyết sự cố, trực tiếp bảo trì sửa chữa đơn giản cho các trang thiết bị điện tử, nghe nhìn được trang bị tại công ty và cửa hàng.
Thực hiện các công tác bảo trì bảo dưỡng theo định kỳ
Khảo sát và đề xuất mua tài sản khi có phát sinh
Thừa kế và phát triển thêm các qui chuẩn, qui định về vận hành, cấu hình, bảo trì bảo dưỡng, bảo mật thông tin…
Các công tác khác theo chỉ đạo của cấp trên
Chi tiết trao đổi khi phỏng vấn.
Cao đẳng
Show more
Show less"
"Chief Information Officer, Insurtech (Vietnam-based)",Kerry Consulting,Vietnam,https://vn.linkedin.com/jobs/view/chief-information-officer-insurtech-vietnam-based-at-kerry-consulting-4142081513,N/A,"- Well-backed Insurtech Startup
- Ambitious Growth Trajectory
About the Firm
This is an exciting opportunity to be one of the founding members of an Insurtech startup, which is well-backed by a reputable name within the financial services industry, in Vietnam. The parent company is known to be a market leader in digital services and offerings, and will like to extend that product offering to Insurance.
Responsibilities
Reporting into the CEO of the Insurtech startup, you will be responsible for the technology roadmap across run and change pillars. Your span of responsibilities is wide, across data, digital, applications, infrastructure and cybersecurity. You can also leverage on the strong and expansive technologies of the parent company to build the digital platform for the Insurtech company. You will build a robust IT environment, fully leveraging on the newest technologies. Working along the business leaders, you will also design and deliver digital platforms, products and services to delight the customers.
Role Requirements
You are well-versed in the technology and regulatory landscape with Vietnam, with particular emphasis on the financial services sector. You are an experienced CIO, with fluency in budget management, organization setups, technology reviews, governance and stakeholder management. You are able to scale a team from 0 to 1 and possess strong leadership skills.
To apply
Please submit your resume to Patricia Teo at pt@kerryconsulting.com, quoting the job title. Due to high volume of applications, only shortlisted candidates are notified.
Registration No: R1328278
Licence No: 16S8060
Show more
Show less"
Business Analyst,the LEGO Group,"Bac Tan Uyen, Binh Duong, Vietnam",https://vn.linkedin.com/jobs/view/business-analyst-at-the-lego-group-4114829305,1 month ago,"Job Description
Are you passionate about working for a company whose products bring happiness to millions of children and adults all over the globe.
Bring your business analyst skills and expertise to contribute to set the direction and plans for the Procurement and to seek for operational excellence with the internal customers and supply base at LEGO® Manufacturing Vietnam!
This role will be working at LEGO Manufacturing Vietnam in Binh Duong.
Play your part in our team succeeding
Be part of the local procurement team to support the LEGO investment and ensure that procurement get embedded into the new organization.
We emphasize building strong relations to our business partners and support them in achieving their priorities. The main focus is to stable supplier platform in full compliance with all LEGO requirements such as safety, quality, ethical manner and in the level competitive price.
LMV Procurement team is responsible for timely delivery of superior quality materials at the reasonable cost. You will ensure contracts Outline Agreements for packaging materials are raised in SAP, analyze data, create reports, and provide potential solutions.
This position exists in order to enable that LMV Procurement organization has the right reporting, processes and tools to ensure compliance to Processes, KPIs and strategies. Role is to analyze data, create reports, and provide potential solutions to your stakeholders. The role supports the understanding of capabilities needed to address business challenges. This position collaborate closely with Procurement Categories responsible buyers partnering with them in relation to process improvements and analytical insight locally and globally.
Core Responsibilities
Run, manage and improve key steps in the ordering process for BOM materials along with responsible buyers utilizing SAP, Power BI and other tools.
Calculation of batch sizes and assist procurement team in raising contracts Outline Agreements in SAP
Lead and/or participate in projects focused on automatization of tools, processes or visual management of the team.
Assess business process and system inefficiencies; seek for continuous Improvement activities oriented to increase productivity and higher level of quality of data management.
Collaborate with global and regional procurement teams to to deliver projects.
Extract, analyse and maintain data to execute local reports and support Global Reports execution for all the Procurement department.
Provide training to procurement staff and suppliers in various processes and tools
Supporting external partners / colleagues with LEGO Partner Web platform (granting access to external/internal users, creating of new potential vendor collaboration sites
Do you have what it takes?
Strong analytical skills
Collaboration Work effectively with others and perform as a team player
Result Orientation Drive & track results and push for constant improvements
Customer focused and consumer driven Identify and understand customer, consumer and shopper needs and act accordingly
Functional expertise Leverage professional expertise to create results and share knowledge
A get things done attitude and the ability handle many projects at the same time
3 years as Business Analyst or experience in Supply Chain environment, preferible experience in SAP and Excel management （Macro）as well as participation in Projects.
Experience with SAP , Excell , Power BI
Excellent analytical, communication and IT skills
Passionate about data and data interpretation
Analisys and use the Windows office tools for presentations, collaboration, team work, service attitude, analysis and problem solution mindset.
Applications are reviewed on an ongoing basis. However, please note we do amend or withdraw our jobs and reserve the right to do so at any time, including prior to any advertised closing date. So, if you're interested in this role we encourage you to apply as soon as possible.
What’s in it for you?
Here is what you can expect
Family Care Leave
- We offer enhanced paid leave options for those important times.
Insurances
– All colleagues are covered by our life and disability insurance which provides protection and peace of mind.
Wellbeing
- We want our people to feel well and thrive. We offer resources and benefits to nurture physical and mental wellbeing along with opportunities to build community and inspire creativity.
Colleague Discount
– We know you'll love to build, so from day 1 you will qualify for our generous colleague discount.
Bonus
- We do our best work to succeed together. When goals are reached and if eligible, you'll be rewarded through our bonus scheme.
Workplace
- When you join the team you'll be assigned a primary workplace location i.e. one of our Offices, stores or factories. Our hybrid work policy means an average of 3 days per week in the office. The hiring team will discuss the policy and role eligibility with you during the recruitment process.
Children are our role models. Their curiosity, creativity and imagination inspire everything we do. We strive to create a diverse, dynamic and inclusive culture of play at the LEGO Group, where everyone feels safe, valued and they belong.
The LEGO Group is highly committed to equal employment opportunity and equal pay and seeks to encourage applicants from all backgrounds (eg. sex, gender identity or expression, race/ethnicity, national origin, sexual orientation, disability, age and religion) to apply for roles in our team.
Research shows that women and people from different underrepresented backgrounds often only apply for a job if they meet 100% of the listed qualifications. For all candidates, if you dream of being a part of our team and you meet many, but not all of our listed qualifications for this role, please apply.
The LEGO Group is fully committed to Children’s Rights and Child Wellbeing across the globe. Candidates offered positions with high engagement with children are required to take part in Child Safeguarding Background Screening, as a condition of the offer.
Thank you for sharing our global commitment to Children’s Rights.
Just imagine building your dream career.
Then make it real.
Join the LEGO® team today.
Show more
Show less"
Trưởng phòng IT,Công Ty TNHH DV Và TM Mesa,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",https://vn.linkedin.com/jobs/view/tr%C6%B0%E1%BB%9Fng-ph%C3%B2ng-it-at-c%C3%B4ng-ty-tnhh-dv-v%C3%A0-tm-mesa-3984647486,6 months ago,"Mô tả công việc
 Tham gia phát triển dự án web quy mô lớn để đáp ứng nhu cầu mở rộng thị trường.
 Phân tích các yêu cầu và thực hiện các nguyên tắc thiết kế web có trách nhiệm để đảm bảo rằng trang web của chúng tôi hiển thị tốt trên nhiều thiết bị và trình duyệt.
 Viết và tối ưu hóa mã code mặt trước, mặt sau tạo ứng dụng chạy nhanh tuyệt vời với UI / UX.
 Đưa ra quyết định kỹ thuật mặt trước mặt sau và các thành viên trong đội. Nghiên cứu xu hướng công nghệ mới và thích ứng với các dự án của công ty.
 Phối hợp với các thành viên trong nhóm sản phẩm khác để hoàn thành các dự án đúng thời gian với hiệu suất và chất lượng tốt nhất.
 Lập trình và phát triển website booking engine - đặt vé máy bay trực tuyến, đặt khách sạn.
 Tham gia phát triển các chức năng và tích hợp (API, WebServices).
 Tối ưu hóa hệ thống website theo tiêu chuẩn SEO.
 Phát triển / quản lý / bảo trì Oracle, MySQL, SQL server.
 Hỗ trợ bộ phận liên quan quản trị hệ thống máy tính, quản trị mạng, sao lưu dữ liệu, email công ty.
Đại học
Show more
Show less"
